typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
inv,0.000000,1.047256,1.038526,0.000018,22839.522917,22839.522917,22839.522917
inv,0.000000,1.046585,1.039612,0.000022,22520.463257,22520.463257,22520.463257
inv,0.000000,1.050086,1.043685,0.000020,21347.867450,21347.867450,21347.867450
inv,0.000000,1.045525,1.038192,0.000020,23281.463850,23281.463850,23281.463850
inv,0.000000,1.052748,1.047850,0.000014,26427.232547,26427.232547,26427.232547
inv,0.000000,1.047831,1.038560,0.000015,26462.272337,26462.272337,26462.272337
inv,0.000001,1.047219,1.040271,0.000012,33300.472882,33300.472882,33300.472882
inv,0.000000,1.051194,1.092346,0.000014,27566.382819,27566.382819,27566.382819
inv,0.000000,1.109955,1.037194,0.000018,28065.896118,28065.896118,28065.896118
inv,0.000000,1.043860,1.039596,0.000017,21713.570952,21713.570952,21713.570952
inv,0.000000,1.052573,1.038151,0.000018,23735.506606,23735.506606,23735.506606
inv,0.000000,1.047235,1.042857,0.000020,20721.471059,20721.471059,20721.471059
inv,0.000000,1.049840,1.040384,0.000012,21210.701676,21210.701676,21210.701676
inv,0.000000,1.044991,1.035459,0.000014,33427.275350,33427.275350,33427.275350
inv,0.000000,1.047657,1.037572,0.000027,21108.133849,21108.133849,21108.133849
inv,0.000000,1.048764,1.036565,0.000014,27923.092941,27923.092941,27923.092941
inv,0.000000,1.044958,1.051108,0.000027,21127.572492,21127.572492,21127.572492
inv,0.000000,1.048874,1.038516,0.000015,25236.868352,25236.868352,25236.868352
inv,0.000000,1.049099,1.035967,0.000030,19870.559314,19870.559314,19870.559314
inv,0.000000,1.044848,1.039237,0.000025,21973.318353,21973.318353,21973.318353
inv,0.000000,1.047953,1.037316,0.000014,28100.488642,28100.488642,28100.488642
inv,0.000000,1.046491,1.040746,0.000016,34026.219672,34026.219672,34026.219672
inv,0.000000,1.063104,1.036738,0.000019,19645.446060,19645.446060,19645.446060
inv,0.000000,1.045417,1.037491,0.000017,21923.408397,21923.408397,21923.408397
inv,0.000000,1.062771,1.043212,0.000018,22058.914755,22058.914755,22058.914755
inv,0.000001,1.044442,1.046020,0.000014,27115.668671,27115.668671,27115.668671
inv,0.000000,1.043821,1.044087,0.000014,26025.031396,26025.031396,26025.031396
inv,0.000000,1.045908,1.038884,0.000019,21694.065867,21694.065867,21694.065867
inv,0.000000,1.048521,1.041816,0.000013,28461.983592,28461.983592,28461.983592
inv,0.000001,1.046044,1.039308,0.000017,25439.963522,25439.963522,25439.963522
inv,0.000000,1.049389,1.043380,0.000027,25338.320523,25338.320523,25338.320523
inv,0.000000,1.043885,1.034048,0.000017,19994.987232,19994.987232,19994.987232
inv,0.000000,1.046492,1.037346,0.000016,22414.131287,22414.131287,22414.131287
inv,0.000000,1.044342,1.036451,0.000018,21096.899843,21096.899843,21096.899843
inv,0.000000,1.043490,1.036701,0.000020,24117.661414,24117.661414,24117.661414
