typename,s_size_v1,s_size_v2,s_size_v1_1,s_size_v2_1,time_ks2_allocation,time_ks2_v2,time_ks2_v2_allocation_1,time_ks2_v2_1,time_ks2_v1_allocation,time_ks2_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,time_original
almost,403,208,403,208,0.000004,0.001942,0.000004,0.000073,0.000008,0.002503,0.000007,0.000054,0.003714
almost,403,208,403,208,0.000004,0.001920,0.000005,0.000069,0.000008,0.002515,0.000007,0.000067,0.003661
almost,403,208,403,208,0.000004,0.001913,0.000004,0.000059,0.000007,0.002502,0.000010,0.000124,0.003995
almost,403,208,403,208,0.000004,0.001911,0.000004,0.000061,0.000007,0.002387,0.000007,0.000045,0.003781
almost,403,208,403,208,0.000005,0.001953,0.000003,0.000069,0.000007,0.002526,0.000007,0.000047,0.003758
almost,403,208,403,208,0.000004,0.001911,0.000004,0.000061,0.000007,0.002445,0.000007,0.000064,0.003740
almost,403,208,403,208,0.000004,0.001902,0.000003,0.000056,0.000007,0.002473,0.000007,0.000043,0.003706
almost,403,208,403,208,0.000004,0.001952,0.000004,0.000070,0.000007,0.002418,0.000008,0.000052,0.003661
almost,403,208,403,208,0.000004,0.001989,0.000004,0.000057,0.000007,0.002388,0.000007,0.000045,0.003672
almost,403,208,403,208,0.000004,0.001943,0.000004,0.000057,0.000007,0.002417,0.000007,0.000044,0.003749
almost,403,208,403,208,0.000004,0.001944,0.000004,0.000063,0.000007,0.002452,0.000007,0.000041,0.003687
almost,403,208,403,208,0.000004,0.001913,0.000004,0.000065,0.000009,0.002423,0.000007,0.000044,0.003659
almost,403,208,403,208,0.000004,0.002544,0.000007,0.000089,0.000013,0.003339,0.000013,0.000119,0.007946
almost,403,208,403,208,0.000008,0.002705,0.000007,0.000090,0.000014,0.003365,0.000013,0.000127,0.008095
almost,403,208,403,208,0.000008,0.002654,0.000007,0.000094,0.000014,0.003470,0.000013,0.000122,0.008070
