typename,original,columOpt_prealloc,columOpt_prealloc_V1,fminknap,resOpt,resFmin
inv,0.000827,0.000210,0.000206,0.000007,351.031506,351.031506,351.031506
inv,0.001001,0.000316,0.000311,0.000005,336.531220,336.531220,336.531220
inv,0.000878,0.000569,0.000324,0.000006,346.462875,346.462875,346.462875
inv,0.000827,0.000206,0.000210,0.000005,360.614982,360.614982,360.614982
inv,0.000852,0.000359,0.000390,0.000004,391.121209,391.121209,391.121209
inv,0.000868,0.000205,0.000205,0.000006,335.029335,335.029335,335.029335
inv,0.000825,0.000205,0.000206,0.000009,336.183476,336.183476,336.183476
inv,0.000833,0.000205,0.000204,0.000007,394.662300,394.662300,394.662300
inv,0.000843,0.000205,0.000204,0.000004,453.049916,453.049916,453.049916
inv,0.000866,0.000212,0.000210,0.000004,408.082760,408.082760,408.082760
inv,0.000875,0.000205,0.000204,0.000005,474.833700,474.833700,474.833700
inv,0.000833,0.000215,0.000213,0.000007,364.606705,364.606705,364.606705
inv,0.000854,0.000205,0.000206,0.000005,324.348474,324.348474,324.348474
inv,0.000839,0.000206,0.000205,0.000006,426.655437,426.655437,426.655437
inv,0.000833,0.000204,0.000205,0.000007,472.873572,472.873572,472.873572
inv,0.000825,0.000206,0.000206,0.000007,369.402289,369.402289,369.402289
inv,0.001032,0.000204,0.000256,0.000005,462.589153,462.589153,462.589153
inv,0.001223,0.000212,0.000211,0.000005,371.909796,371.909796,371.909796
inv,0.001276,0.000390,0.000370,0.000005,339.446725,339.446725,339.446725
inv,0.001351,0.000212,0.000211,0.000010,348.623121,348.623121,348.623121
inv,0.001075,0.000348,0.000366,0.000008,442.313535,442.313535,442.313535
inv,0.001647,0.000353,0.000356,0.000007,448.031333,448.031333,448.031333
inv,0.002203,0.001162,0.000423,0.000006,352.867274,352.867274,352.867274
inv,0.001312,0.000370,0.000430,0.000005,342.037420,342.037420,342.037420
inv,0.000830,0.000243,0.000252,0.000005,267.074206,267.074206,267.074206
inv,0.000910,0.000205,0.000206,0.000006,359.382248,359.382248,359.382248
inv,0.000830,0.000207,0.000207,0.000005,350.417356,350.417356,350.417356
inv,0.001043,0.000205,0.000205,0.000006,450.344838,450.344838,450.344838
inv,0.000857,0.000205,0.000205,0.000007,332.427956,332.427956,332.427956
inv,0.000964,0.000211,0.000205,0.000004,398.173620,398.173620,398.173620
inv,0.000851,0.000204,0.000216,0.000002,343.022613,343.022613,343.022613
str,0.000750,0.000208,0.000207,0.000008,544.085369,544.085369,544.085369
str,0.000748,0.000205,0.000280,0.000010,546.669608,546.669608,546.669608
str,0.000797,0.000204,0.000205,0.000006,618.295573,618.295573,618.295573
str,0.000795,0.000205,0.000505,0.000006,483.500214,483.500214,483.500214
str,0.000749,0.000213,0.000215,0.000008,552.561444,552.561444,552.561444
str,0.001069,0.000207,0.000215,0.000004,464.256631,464.256631,464.256631
str,0.000747,0.000210,0.000212,0.000007,506.978435,506.978435,506.978435
str,0.000747,0.000205,0.000206,0.000005,529.750036,529.750036,529.750036
str,0.000743,0.000205,0.000206,0.000010,451.445513,451.445513,451.445513
str,0.000752,0.000206,0.000206,0.000007,561.187365,561.187365,561.187365
str,0.000807,0.000206,0.000206,0.000007,493.414752,493.414752,493.414752
str,0.000820,0.000212,0.000206,0.000006,518.315761,518.315761,518.315761
str,0.000757,0.000204,0.000204,0.000003,532.368972,532.368972,532.368972
str,0.000771,0.000205,0.000206,0.000005,445.746181,445.746181,445.746181
str,0.001085,0.000206,0.000206,0.000004,610.263322,610.263322,610.263322
str,0.000732,0.000228,0.000212,0.000005,489.806989,489.806989,489.806989
str,0.000746,0.000208,0.000208,0.000007,535.150198,535.150198,535.150198
str,0.000798,0.000206,0.000207,0.000004,566.761567,566.761567,566.761567
str,0.000829,0.000207,0.000208,0.000007,490.057218,490.057218,490.057218
str,0.000804,0.000206,0.000207,0.000008,561.804668,561.804668,561.804668
str,0.001818,0.000318,0.000257,0.000012,418.701665,418.701665,418.701665
str,0.000777,0.000425,0.000701,0.000007,536.744196,536.744196,536.744196
str,0.000845,0.000213,0.000207,0.000007,392.491094,392.491094,392.491094
str,0.000735,0.000350,0.000209,0.000007,467.490453,467.490453,467.490453
str,0.000922,0.000206,0.000207,0.000006,523.446664,523.446664,523.446664
str,0.001342,0.000330,0.000343,0.000009,513.541896,513.541896,513.541896
str,0.000954,0.000280,0.000220,0.000006,410.127565,410.127565,410.127565
str,0.000746,0.000206,0.000205,0.000007,475.122821,475.122821,475.122821
str,0.000747,0.000220,0.000214,0.000004,507.344108,507.344108,507.344108
str,0.000754,0.000214,0.000213,0.000007,550.263229,550.263229,550.263229
str,0.000810,0.000339,0.000322,0.000006,611.166090,611.166090,611.166090
