typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
s_div: 19974, s_cut: 17855
almost,0.000000,0.568671,0.029659,0.000000,0.007173,0.012342,0.007173,0.012342,0.007173,0.012342,0.000015,449141.907050,40164.223448,41363.776039
almost,0.000000,0.594070,0.030004,0.000000,0.014490,0.010822,0.014490,0.010822,0.014490,0.010822,0.000016,429176.155544,34773.771536,35761.269978
almost,0.000000,0.558391,0.026328,0.000000,0.006872,0.010894,0.006872,0.010894,0.006872,0.010894,0.000010,430214.934516,38863.617507,38890.620671
almost,0.000000,0.568611,0.028189,0.000000,0.007004,0.010390,0.007004,0.010390,0.007004,0.010390,0.000010,434182.490706,44236.253395,45757.893274
almost,0.000000,0.565470,0.026318,0.000000,0.006847,0.012012,0.006847,0.012012,0.006847,0.012012,0.000010,413612.597104,46219.288877,47876.658337
almost,0.000000,0.555460,0.027121,0.000000,0.013448,0.010351,0.013448,0.010351,0.013448,0.010351,0.000009,398923.006146,39849.811633,41389.380569
almost,0.000000,0.549342,0.027188,0.000000,0.006820,0.010671,0.006820,0.010671,0.006820,0.010671,0.000009,398330.344864,39281.615213,41578.259059
almost,0.000000,0.547876,0.027120,0.000000,0.006761,0.010488,0.006761,0.010488,0.006761,0.010488,0.000010,460438.293044,45134.028876,47536.262417
almost,0.000000,0.553816,0.026242,0.000000,0.012390,0.010529,0.012390,0.010529,0.012390,0.010529,0.000009,400215.363170,36047.131368,38377.710611
almost,0.000000,0.547784,0.026434,0.000000,0.006808,0.010322,0.006808,0.010322,0.006808,0.010322,0.000012,394783.249072,43076.525672,45034.080166
almost,0.000000,0.553222,0.026694,0.000000,0.006783,0.010292,0.006783,0.010292,0.006783,0.010292,0.000012,412573.883752,40547.445582,41986.665706
